series_key;time_period;time_period_start;time_period_end;obs_value;updated_at;dataset_id;title_fr;title_long_fr;FREQ;BENCHMARK_ITEM;DATA_TYPE_EST;UNIT;DECIMALS;UNIT_MULT;COLLECTION;SOURCE_AGENCY;OBS_STATUS;OBS_CONF
ESTR.B.EU000A2X2A25.R75;2025-08-25;2025-08-25;2025-08-25;1,95;2025-08-26T08:00:03+00:00;ESTR;€STR - Taux au 75ème percentile des volumes;Euro short-term rate - Taux au 75ème percentile des volumes;B;EU000A2X2A25;R75;PC;2;0;E;4F0;A;F
ESTR.B.EU000A2X2A25.NT;2025-08-25;2025-08-25;2025-08-25;850,0;2025-08-26T08:00:03+00:00;ESTR;€STR - Nombre de transactions;Euro short-term rate - Nombre de transactions;B;EU000A2X2A25;NT;_Z;0;0;S;4F0;A;F
ESTR.B.EU000A2X2A25.VL;2025-08-25;2025-08-25;2025-08-25;47,0;2025-08-26T08:00:03+00:00;ESTR;€STR - Part des 5 plus grandes banques;Euro short-term rate - Part des 5 plus grandes banques;B;EU000A2X2A25;VL;PC;0;0;E;4F0;A;F
ESTR.B.EU000A2X2A25.NB;2025-08-22;2025-08-22;2025-08-22;48,0;2025-08-25T08:00:03+00:00;ESTR;€STR - Nombre de banques;Euro short-term rate - Nombre de banques;B;EU000A2X2A25;NB;_Z;0;0;S;4F0;A;F
ESTR.B.EU000A2X2A25.R25;2025-08-22;2025-08-22;2025-08-22;1,9;2025-08-25T08:00:03+00:00;ESTR;€STR - Taux au 25ème percentile des volumes;Euro short-term rate - Taux au 25ème percentile des volumes;B;EU000A2X2A25;R25;PC;2;0;E;4F0;A;F
ESTR.B.EU000A2X2A25.RP;2025-08-22;2025-08-22;2025-08-22;0,0;2025-08-25T08:00:03+00:00;ESTR;€STR - Publication;Euro short-term rate - Publication;B;EU000A2X2A25;RP;_Z;0;0;E;4F0;A;F
ESTR.B.EU000A2X2A25.WT;2025-08-22;2025-08-22;2025-08-22;1,926;2025-08-25T08:00:04+00:00;ESTR;€STR - Taux moyen ajusté pondéré en fonction du volume;Euro short-term rate - Taux moyen ajusté pondéré en fonction du volume;B;EU000A2X2A25;WT;PC;3;0;A;4F0;A;F
ESTR.B.EU000A2X2A25.NT;2025-08-22;2025-08-22;2025-08-22;821,0;2025-08-25T08:00:03+00:00;ESTR;€STR - Nombre de transactions;Euro short-term rate - Nombre de transactions;B;EU000A2X2A25;NT;_Z;0;0;S;4F0;A;F
ESTR.B.EU000A2X2A25.TT;2025-08-22;2025-08-22;2025-08-22;63395,0;2025-08-25T08:00:03+00:00;ESTR;€STR - Volume total;Euro short-term rate - Volume total;B;EU000A2X2A25;TT;EUR;0;6;S;4F0;A;F
ESTR.B.EU000A2X2A25.CM;2025-08-22;2025-08-22;2025-08-22;0,0;2025-08-25T08:00:03+00:00;ESTR;€STR - Méthode de calcul;Euro short-term rate - Méthode de calcul;B;EU000A2X2A25;CM;_Z;0;0;E;4F0;A;F
ESTR.B.EU000A2X2A25.R75;2025-08-22;2025-08-22;2025-08-22;1,95;2025-08-25T08:00:03+00:00;ESTR;€STR - Taux au 75ème percentile des volumes;Euro short-term rate - Taux au 75ème percentile des volumes;B;EU000A2X2A25;R75;PC;2;0;E;4F0;A;F
ESTR.B.EU000A2X2A25.VL;2025-08-22;2025-08-22;2025-08-22;48,0;2025-08-25T08:00:04+00:00;ESTR;€STR - Part des 5 plus grandes banques;Euro short-term rate - Part des 5 plus grandes banques;B;EU000A2X2A25;VL;PC;0;0;E;4F0;A;F
ESTR.B.EU000A2X2A25.TT;2025-08-21;2025-08-21;2025-08-21;68493,0;2025-08-22T08:00:05+00:00;ESTR;€STR - Volume total;Euro short-term rate - Volume total;B;EU000A2X2A25;TT;EUR;0;6;S;4F0;A;F
ESTR.B.EU000A2X2A25.NB;2025-08-21;2025-08-21;2025-08-21;48,0;2025-08-22T08:00:05+00:00;ESTR;€STR - Nombre de banques;Euro short-term rate - Nombre de banques;B;EU000A2X2A25;NB;_Z;0;0;S;4F0;A;F
ESTR.B.EU000A2X2A25.WT;2025-08-21;2025-08-21;2025-08-21;1,926;2025-08-22T08:00:05+00:00;ESTR;€STR - Taux moyen ajusté pondéré en fonction du volume;Euro short-term rate - Taux moyen ajusté pondéré en fonction du volume;B;EU000A2X2A25;WT;PC;3;0;A;4F0;A;F
ESTR.B.EU000A2X2A25.VL;2025-08-21;2025-08-21;2025-08-21;44,0;2025-08-22T08:00:05+00:00;ESTR;€STR - Part des 5 plus grandes banques;Euro short-term rate - Part des 5 plus grandes banques;B;EU000A2X2A25;VL;PC;0;0;E;4F0;A;F
ESTR.B.EU000A2X2A25.NT;2025-08-21;2025-08-21;2025-08-21;898,0;2025-08-22T08:00:05+00:00;ESTR;€STR - Nombre de transactions;Euro short-term rate - Nombre de transactions;B;EU000A2X2A25;NT;_Z;0;0;S;4F0;A;F
ESTR.B.EU000A2X2A25.R75;2025-08-21;2025-08-21;2025-08-21;1,95;2025-08-22T08:00:05+00:00;ESTR;€STR - Taux au 75ème percentile des volumes;Euro short-term rate - Taux au 75ème percentile des volumes;B;EU000A2X2A25;R75;PC;2;0;E;4F0;A;F
ESTR.B.EU000A2X2A25.RP;2025-08-21;2025-08-21;2025-08-21;0,0;2025-08-22T08:00:05+00:00;ESTR;€STR - Publication;Euro short-term rate - Publication;B;EU000A2X2A25;RP;_Z;0;0;E;4F0;A;F
ESTR.B.EU000A2X2A25.R25;2025-08-21;2025-08-21;2025-08-21;1,9;2025-08-22T08:00:05+00:00;ESTR;€STR - Taux au 25ème percentile des volumes;Euro short-term rate - Taux au 25ème percentile des volumes;B;EU000A2X2A25;R25;PC;2;0;E;4F0;A;F
ESTR.B.EU000A2X2A25.CM;2025-08-21;2025-08-21;2025-08-21;0,0;2025-08-22T08:00:05+00:00;ESTR;€STR - Méthode de calcul;Euro short-term rate - Méthode de calcul;B;EU000A2X2A25;CM;_Z;0;0;E;4F0;A;F
ESTR.B.EU000A2X2A25.NT;2025-08-20;2025-08-20;2025-08-20;929,0;2025-08-21T07:00:03+00:00;ESTR;€STR - Nombre de transactions;Euro short-term rate - Nombre de transactions;B;EU000A2X2A25;NT;_Z;0;0;S;4F0;A;F
ESTR.B.EU000A2X2A25.WT;2025-08-20;2025-08-20;2025-08-20;1,926;2025-08-21T07:00:03+00:00;ESTR;€STR - Taux moyen ajusté pondéré en fonction du volume;Euro short-term rate - Taux moyen ajusté pondéré en fonction du volume;B;EU000A2X2A25;WT;PC;3;0;A;4F0;A;F
ESTR.B.EU000A2X2A25.RP;2025-08-20;2025-08-20;2025-08-20;0,0;2025-08-21T07:00:03+00:00;ESTR;€STR - Publication;Euro short-term rate - Publication;B;EU000A2X2A25;RP;_Z;0;0;E;4F0;A;F
